"","SUBSTANCENAME","NONPROPRIETARYNAME","NDC_11","PHARM_CLASSES","PRODUCTNDC","NDCPACKAGECODE","PRODUCTID","PRODUCTTYPENAME","PROPRIETARYNAME","PROPRIETARYNAMESUFFIX","DOSAGEFORMNAME","ROUTENAME","STARTMARKETINGDATE","ENDMARKETINGDATE","MARKETINGCATEGORYNAME","APPLICATIONNUMBER","LABELERNAME","ACTIVE_NUMERATOR_STRENGTH","ACTIVE_INGRED_UNIT","DEASCHEDULE","NDC_EXCLUDE_FLAG","LISTING_RECORD_CERTIFIED_THROUGH"
"3019","PENICILLIN V POTASSIUM","Penicillin V Potassium","50090465100","Penicillin-class Antibacterial [EPC], Penicillins [CS]","50090-4651","50090-4651-0","50090-4651_5e478d12-c656-456d-8248-58cb7a1d7f73","HUMAN PRESCRIPTION DRUG","Penicillin V Potassium","","TABLET, FILM COATED","ORAL","20080429","","ANDA","ANDA065435","A-S Medication Solutions","500","mg/1","","N","20241231"
"3020","PENICILLIN V POTASSIUM","Penicillin V Potassium","50090465101","Penicillin-class Antibacterial [EPC], Penicillins [CS]","50090-4651","50090-4651-1","50090-4651_5e478d12-c656-456d-8248-58cb7a1d7f73","HUMAN PRESCRIPTION DRUG","Penicillin V Potassium","","TABLET, FILM COATED","ORAL","20080429","","ANDA","ANDA065435","A-S Medication Solutions","500","mg/1","","N","20241231"
"3021","PENICILLIN V POTASSIUM","Penicillin V Potassium","50090465201","Penicillin-class Antibacterial [EPC], Penicillins [CS]","50090-4652","50090-4652-1","50090-4652_d9444760-ce28-4655-b50c-5c1e8acdca7b","HUMAN PRESCRIPTION DRUG","Penicillin V Potassium","","TABLET, FILM COATED","ORAL","20080429","","ANDA","ANDA065435","A-S Medication Solutions","500","mg/1","","N","20241231"
"3022","PENICILLIN V POTASSIUM","Penicillin V Potassium","50090465202","Penicillin-class Antibacterial [EPC], Penicillins [CS]","50090-4652","50090-4652-2","50090-4652_d9444760-ce28-4655-b50c-5c1e8acdca7b","HUMAN PRESCRIPTION DRUG","Penicillin V Potassium","","TABLET, FILM COATED","ORAL","20080429","","ANDA","ANDA065435","A-S Medication Solutions","500","mg/1","","N","20241231"
"3023","PENICILLIN V POTASSIUM","Penicillin V Potassium","50090465204","Penicillin-class Antibacterial [EPC], Penicillins [CS]","50090-4652","50090-4652-4","50090-4652_d9444760-ce28-4655-b50c-5c1e8acdca7b","HUMAN PRESCRIPTION DRUG","Penicillin V Potassium","","TABLET, FILM COATED","ORAL","20080429","","ANDA","ANDA065435","A-S Medication Solutions","500","mg/1","","N","20241231"
"3024","PENICILLIN V POTASSIUM","Penicillin V Potassium","50090465205","Penicillin-class Antibacterial [EPC], Penicillins [CS]","50090-4652","50090-4652-5","50090-4652_d9444760-ce28-4655-b50c-5c1e8acdca7b","HUMAN PRESCRIPTION DRUG","Penicillin V Potassium","","TABLET, FILM COATED","ORAL","20080429","","ANDA","ANDA065435","A-S Medication Solutions","500","mg/1","","N","20241231"
"3025","PENICILLIN V POTASSIUM","Penicillin V Potassium","50090465206","Penicillin-class Antibacterial [EPC], Penicillins [CS]","50090-4652","50090-4652-6","50090-4652_d9444760-ce28-4655-b50c-5c1e8acdca7b","HUMAN PRESCRIPTION DRUG","Penicillin V Potassium","","TABLET, FILM COATED","ORAL","20080429","","ANDA","ANDA065435","A-S Medication Solutions","500","mg/1","","N","20241231"
"3026","HYDROXYCHLOROQUINE SULFATE","Hydroxychloroquine Sulfate","50090465901","Antimalarial [EPC], Antirheumatic Agent [EPC]","50090-4659","50090-4659-1","50090-4659_dff39b8e-b753-490c-8f7b-84bcbf9b2297","HUMAN PRESCRIPTION DRUG","Hydroxychloroquine Sulfate","","TABLET, FILM COATED","ORAL","20180517","","ANDA","ANDA210577","A-S Medication Solutions","200","mg/1","","N","20251231"
"3027","HYDROXYCHLOROQUINE SULFATE","Hydroxychloroquine Sulfate","50090465902","Antimalarial [EPC], Antirheumatic Agent [EPC]","50090-4659","50090-4659-2","50090-4659_dff39b8e-b753-490c-8f7b-84bcbf9b2297","HUMAN PRESCRIPTION DRUG","Hydroxychloroquine Sulfate","","TABLET, FILM COATED","ORAL","20180517","","ANDA","ANDA210577","A-S Medication Solutions","200","mg/1","","N","20251231"
"3028","HYDROXYCHLOROQUINE SULFATE","Hydroxychloroquine Sulfate","50090465903","Antimalarial [EPC], Antirheumatic Agent [EPC]","50090-4659","50090-4659-3","50090-4659_dff39b8e-b753-490c-8f7b-84bcbf9b2297","HUMAN PRESCRIPTION DRUG","Hydroxychloroquine Sulfate","","TABLET, FILM COATED","ORAL","20180517","","ANDA","ANDA210577","A-S Medication Solutions","200","mg/1","","N","20251231"
"3029","CLINDAMYCIN HYDROCHLORIDE","Clindamycin hydrochloride","50090466100","Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]","50090-4661","50090-4661-0","50090-4661_dc91f2f3-c5e8-4c78-aec4-ad45e327bfa4","HUMAN PRESCRIPTION DRUG","CLINDAMYCIN HYDROCHLORIDE","","CAPSULE","ORAL","20190107","","ANDA","ANDA207402","A-S Medication Solutions","150","mg/1","","N","20241231"
"3030","CLINDAMYCIN HYDROCHLORIDE","Clindamycin hydrochloride","50090466101","Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]","50090-4661","50090-4661-1","50090-4661_dc91f2f3-c5e8-4c78-aec4-ad45e327bfa4","HUMAN PRESCRIPTION DRUG","CLINDAMYCIN HYDROCHLORIDE","","CAPSULE","ORAL","20190107","","ANDA","ANDA207402","A-S Medication Solutions","150","mg/1","","N","20241231"
"3031","CLINDAMYCIN HYDROCHLORIDE","Clindamycin hydrochloride","50090466103","Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]","50090-4661","50090-4661-3","50090-4661_dc91f2f3-c5e8-4c78-aec4-ad45e327bfa4","HUMAN PRESCRIPTION DRUG","CLINDAMYCIN HYDROCHLORIDE","","CAPSULE","ORAL","20190107","","ANDA","ANDA207402","A-S Medication Solutions","150","mg/1","","N","20241231"
"3032","CLINDAMYCIN HYDROCHLORIDE","Clindamycin hydrochloride","50090466104","Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]","50090-4661","50090-4661-4","50090-4661_dc91f2f3-c5e8-4c78-aec4-ad45e327bfa4","HUMAN PRESCRIPTION DRUG","CLINDAMYCIN HYDROCHLORIDE","","CAPSULE","ORAL","20190107","","ANDA","ANDA207402","A-S Medication Solutions","150","mg/1","","N","20241231"
"3033","CLINDAMYCIN HYDROCHLORIDE","Clindamycin hydrochloride","50090466106","Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]","50090-4661","50090-4661-6","50090-4661_dc91f2f3-c5e8-4c78-aec4-ad45e327bfa4","HUMAN PRESCRIPTION DRUG","CLINDAMYCIN HYDROCHLORIDE","","CAPSULE","ORAL","20190107","","ANDA","ANDA207402","A-S Medication Solutions","150","mg/1","","N","20241231"
"3034","CLINDAMYCIN HYDROCHLORIDE","Clindamycin hydrochloride","50090466107","Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]","50090-4661","50090-4661-7","50090-4661_dc91f2f3-c5e8-4c78-aec4-ad45e327bfa4","HUMAN PRESCRIPTION DRUG","CLINDAMYCIN HYDROCHLORIDE","","CAPSULE","ORAL","20190107","","ANDA","ANDA207402","A-S Medication Solutions","150","mg/1","","N","20241231"
"3035","AZITHROMYCIN DIHYDRATE","Azithromycin Dihydrate","50090470000","Macrolide Antimicrobial [EPC], Macrolides [CS]","50090-4700","50090-4700-0","50090-4700_fd1fcc97-fc81-4396-a789-b92409cbf4a7","HUMAN PRESCRIPTION DRUG","Azithromycin Dihydrate","","TABLET, FILM COATED","ORAL","20190701","","ANDA","ANDA208249","A-S Medication Solutions","500","mg/1","","N","20241231"
"3036","AZITHROMYCIN DIHYDRATE","Azithromycin","50090472000","Macrolide Antimicrobial [EPC], Macrolides [CS]","50090-4720","50090-4720-0","50090-4720_d99f8860-fef1-403a-b2dc-7a6ad5ffd934","HUMAN PRESCRIPTION DRUG","Azithromycin","","TABLET, FILM COATED","ORAL","20180705","","ANDA","ANDA207370","A-S Medication Solutions","250","mg/1","","N","20241231"
"3037","AZITHROMYCIN DIHYDRATE","Azithromycin","50090472001","Macrolide Antimicrobial [EPC], Macrolides [CS]","50090-4720","50090-4720-1","50090-4720_d99f8860-fef1-403a-b2dc-7a6ad5ffd934","HUMAN PRESCRIPTION DRUG","Azithromycin","","TABLET, FILM COATED","ORAL","20180705","","ANDA","ANDA207370","A-S Medication Solutions","250","mg/1","","N","20241231"
"3038","MOXIFLOXACIN HYDROCHLORIDE","Moxifloxacin ophthalmic","50090478100","Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]","50090-4781","50090-4781-0","50090-4781_7bb7b81f-241e-471c-92bd-daf69035980a","HUMAN PRESCRIPTION DRUG","Moxifloxacin ophthalmic solution","","SOLUTION/ DROPS","OPHTHALMIC","20190213","","ANDA","ANDA209469","A-S Medication Solutions","5","mg/mL","","N","20241231"
"3039","CEPHALEXIN","Cephalexin","50090479500","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","50090-4795","50090-4795-0","50090-4795_7bb9235c-a715-4113-b8b0-3f91d1fd3f2a","HUMAN PRESCRIPTION DRUG","Cephalexin","","FOR SUSPENSION","ORAL","20190328","","ANDA","ANDA210221","A-S Medication Solutions","250","mg/5mL","","N","20241231"
"3040","METRONIDAZOLE","metronidazole","50090480900","Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]","50090-4809","50090-4809-0","50090-4809_7e6e7433-4913-4766-a56c-f57241481f52","HUMAN PRESCRIPTION DRUG","metronidazole vaginal","","GEL","VAGINAL","20190708","","ANDA","ANDA211786","A-S Medication Solutions","7.5","mg/g","","N","20241231"
"3041","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","50090484700","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","50090-4847","50090-4847-0","50090-4847_c06c073c-f5f8-41ad-b8e4-7697e3f97fbe","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20100913","","ANDA","ANDA076899","A-S Medication Solutions","800; 160","mg/1; mg/1","","N","20251231"
"3042","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","50090484701","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","50090-4847","50090-4847-1","50090-4847_c06c073c-f5f8-41ad-b8e4-7697e3f97fbe","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20100913","","ANDA","ANDA076899","A-S Medication Solutions","800; 160","mg/1; mg/1","","N","20251231"
"3043","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","50090484702","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","50090-4847","50090-4847-2","50090-4847_c06c073c-f5f8-41ad-b8e4-7697e3f97fbe","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20100913","","ANDA","ANDA076899","A-S Medication Solutions","800; 160","mg/1; mg/1","","N","20251231"
"3044","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","50090484703","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","50090-4847","50090-4847-3","50090-4847_c06c073c-f5f8-41ad-b8e4-7697e3f97fbe","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20100913","","ANDA","ANDA076899","A-S Medication Solutions","800; 160","mg/1; mg/1","","N","20251231"
"3045","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","50090484705","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","50090-4847","50090-4847-5","50090-4847_c06c073c-f5f8-41ad-b8e4-7697e3f97fbe","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20100913","","ANDA","ANDA076899","A-S Medication Solutions","800; 160","mg/1; mg/1","","N","20251231"
"3046","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","50090484707","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","50090-4847","50090-4847-7","50090-4847_c06c073c-f5f8-41ad-b8e4-7697e3f97fbe","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20100913","","ANDA","ANDA076899","A-S Medication Solutions","800; 160","mg/1; mg/1","","N","20251231"
"3047","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","50090484802","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","50090-4848","50090-4848-2","50090-4848_5aaa9a82-c3b8-4ccb-83c4-2ab9cc779d3b","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20100913","","ANDA","ANDA076899","A-S Medication Solutions","800; 160","mg/1; mg/1","","N","20251231"
"3048","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","50090485000","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","50090-4850","50090-4850-0","50090-4850_16c0bd23-76c4-4294-a819-1ec8b218ca31","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20100913","","ANDA","ANDA076899","A-S Medication Solutions","800; 160","mg/1; mg/1","","N","20251231"
"3049","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","50090485001","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","50090-4850","50090-4850-1","50090-4850_16c0bd23-76c4-4294-a819-1ec8b218ca31","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20100913","","ANDA","ANDA076899","A-S Medication Solutions","800; 160","mg/1; mg/1","","N","20251231"
"3050","RIFAMPIN","Rifampin","50090496100","Rifamycin Antibacterial [EPC], Rifamycins [CS]","50090-4961","50090-4961-0","50090-4961_064cb3ff-90ce-4d8a-9e3f-2bc05e16174e","HUMAN PRESCRIPTION DRUG","Rifampin","","CAPSULE","ORAL","19970528","20250630","ANDA","ANDA064150","A-S Medication Solutions","300","mg/1","","N",""
"3051","RIFAMPIN","Rifampin","50090496103","Rifamycin Antibacterial [EPC], Rifamycins [CS]","50090-4961","50090-4961-3","50090-4961_064cb3ff-90ce-4d8a-9e3f-2bc05e16174e","HUMAN PRESCRIPTION DRUG","Rifampin","","CAPSULE","ORAL","19970528","20250630","ANDA","ANDA064150","A-S Medication Solutions","300","mg/1","","N",""
"3052","CHLOROQUINE PHOSPHATE","Chloroquine Phosphate","50090496703","Antimalarial [EPC]","50090-4967","50090-4967-3","50090-4967_3cff43fc-e525-4e94-802f-af15a169fe1a","HUMAN PRESCRIPTION DRUG","Chloroquine Phosphate","","TABLET","ORAL","20110701","","ANDA","ANDA091621","A-S Medication Solutions","250","mg/1","","N","20241231"
"3053","OFLOXACIN","ofloxacin","50090518600","Quinolone Antimicrobial [EPC], Quinolones [CS]","50090-5186","50090-5186-0","50090-5186_2b833f22-4bcc-447b-bdd1-82f0a34b2b87","HUMAN PRESCRIPTION DRUG","Ofloxacin","","SOLUTION","OPHTHALMIC","20190301","","ANDA","ANDA076513","A-S Medication Solutions","3","mg/mL","","N","20241231"
"3054","CEPHALEXIN","Cephalexin","50090519600","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","50090-5196","50090-5196-0","50090-5196_d53accce-79fa-48ff-ba91-88cbe796407d","HUMAN PRESCRIPTION DRUG","Cephalexin","","FOR SUSPENSION","ORAL","20190328","","ANDA","ANDA210221","A-S Medication Solutions","250","mg/5mL","","N","20251231"
"3055","OFLOXACIN","ofloxacin","50090520900","Quinolone Antimicrobial [EPC], Quinolones [CS]","50090-5209","50090-5209-0","50090-5209_bd6a1f94-f3b6-497b-b2fd-fe5ca4929ba9","HUMAN PRESCRIPTION DRUG","Ofloxacin","","SOLUTION","OPHTHALMIC","20190301","","ANDA","ANDA076513","A-S Medication Solutions","3","mg/mL","","N","20241231"
"3056","METRONIDAZOLE","metronidazole","50090524900","Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]","50090-5249","50090-5249-0","50090-5249_a6f721ac-db8e-4c8e-9046-f04cbd12d218","HUMAN PRESCRIPTION DRUG","metronidazole","","TABLET","ORAL","20190223","","ANDA","ANDA206560","A-S Medication Solutions","500","mg/1","","N","20241231"
"3057","METRONIDAZOLE","metronidazole","50090524903","Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]","50090-5249","50090-5249-3","50090-5249_a6f721ac-db8e-4c8e-9046-f04cbd12d218","HUMAN PRESCRIPTION DRUG","metronidazole","","TABLET","ORAL","20190223","","ANDA","ANDA206560","A-S Medication Solutions","500","mg/1","","N","20241231"
"3058","METRONIDAZOLE","metronidazole","50090524904","Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]","50090-5249","50090-5249-4","50090-5249_a6f721ac-db8e-4c8e-9046-f04cbd12d218","HUMAN PRESCRIPTION DRUG","metronidazole","","TABLET","ORAL","20190223","","ANDA","ANDA206560","A-S Medication Solutions","500","mg/1","","N","20241231"
"3059","METRONIDAZOLE","metronidazole","50090524906","Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]","50090-5249","50090-5249-6","50090-5249_a6f721ac-db8e-4c8e-9046-f04cbd12d218","HUMAN PRESCRIPTION DRUG","metronidazole","","TABLET","ORAL","20190223","","ANDA","ANDA206560","A-S Medication Solutions","500","mg/1","","N","20241231"
"3060","METRONIDAZOLE","metronidazole","50090524909","Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]","50090-5249","50090-5249-9","50090-5249_a6f721ac-db8e-4c8e-9046-f04cbd12d218","HUMAN PRESCRIPTION DRUG","metronidazole","","TABLET","ORAL","20190223","","ANDA","ANDA206560","A-S Medication Solutions","500","mg/1","","N","20241231"
"3061","KETOCONAZOLE","Ketoconazole","50090526500","Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 3A4 Inhibitors [MoA], Cytochrome P450 3A5 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]","50090-5265","50090-5265-0","50090-5265_feb1a21d-ab6a-4015-99c2-e55a098a10f3","HUMAN PRESCRIPTION DRUG","Ketoconazole","","CREAM","TOPICAL","20190208","","ANDA","ANDA075581","A-S Medication Solutions","20","mg/g","","N","20251231"
"3062","CLARITHROMYCIN","Clarithromycin","50090528200","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]","50090-5282","50090-5282-0","50090-5282_81455578-b702-45f6-b99c-22968f4a4f38","HUMAN PRESCRIPTION DRUG","Clarithromycin","","TABLET","ORAL","20050825","","ANDA","ANDA065136","A-S Medication Solutions","500","mg/1","","N","20241231"
"3063","CLARITHROMYCIN","Clarithromycin","50090528201","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]","50090-5282","50090-5282-1","50090-5282_81455578-b702-45f6-b99c-22968f4a4f38","HUMAN PRESCRIPTION DRUG","Clarithromycin","","TABLET","ORAL","20050825","","ANDA","ANDA065136","A-S Medication Solutions","500","mg/1","","N","20241231"
"3064","CLARITHROMYCIN","Clarithromycin","50090528202","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]","50090-5282","50090-5282-2","50090-5282_81455578-b702-45f6-b99c-22968f4a4f38","HUMAN PRESCRIPTION DRUG","Clarithromycin","","TABLET","ORAL","20050825","","ANDA","ANDA065136","A-S Medication Solutions","500","mg/1","","N","20241231"
"3065","CLARITHROMYCIN","Clarithromycin","50090528203","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]","50090-5282","50090-5282-3","50090-5282_81455578-b702-45f6-b99c-22968f4a4f38","HUMAN PRESCRIPTION DRUG","Clarithromycin","","TABLET","ORAL","20050825","","ANDA","ANDA065136","A-S Medication Solutions","500","mg/1","","N","20241231"
"3066","CLARITHROMYCIN","Clarithromycin","50090528500","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]","50090-5285","50090-5285-0","50090-5285_63948b5c-a27b-48cb-939b-3b82cf59e59a","HUMAN PRESCRIPTION DRUG","Clarithromycin","","TABLET","ORAL","20051018","","ANDA","ANDA065144","A-S Medication Solutions","250","mg/1","","N","20241231"
"3067","FLUCONAZOLE","fluconazole","50090529900","Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]","50090-5299","50090-5299-0","50090-5299_06f4b6eb-beb0-48ae-a320-de15f5740fd7","HUMAN PRESCRIPTION DRUG","fluconazole","","TABLET","ORAL","20170406","","ANDA","ANDA208963","A-S Medication Solutions","100","mg/1","","N","20241231"
"3068","NYSTATIN","NYSTATIN","50090531500","Polyene Antifungal [EPC], Polyenes [CS]","50090-5315","50090-5315-0","50090-5315_7b3059b0-402b-4cea-88c4-5e7e787a34e7","HUMAN PRESCRIPTION DRUG","Nystatin","","SUSPENSION","ORAL","20200717","","ANDA","ANDA203621","A-S Medication Solutions","100000","[USP'U]/mL","","N","20241231"
"3069","AZITHROMYCIN DIHYDRATE","Azithromycin","50090536600","Macrolide Antimicrobial [EPC], Macrolides [CS]","50090-5366","50090-5366-0","50090-5366_eafd3275-4da4-4bc7-95d5-f2d218013280","HUMAN PRESCRIPTION DRUG","Azithromycin","","TABLET, FILM COATED","ORAL","20180705","","ANDA","ANDA207398","A-S Medication Solutions","500","mg/1","","N","20241231"
"3070","AZITHROMYCIN DIHYDRATE","Azithromycin","50090536601","Macrolide Antimicrobial [EPC], Macrolides [CS]","50090-5366","50090-5366-1","50090-5366_eafd3275-4da4-4bc7-95d5-f2d218013280","HUMAN PRESCRIPTION DRUG","Azithromycin","","TABLET, FILM COATED","ORAL","20180705","","ANDA","ANDA207398","A-S Medication Solutions","500","mg/1","","N","20241231"
"3071","CIPROFLOXACIN HYDROCHLORIDE","Ciprofloxacin Hydrochloride","50090537100","Quinolone Antimicrobial [EPC], Quinolones [CS]","50090-5371","50090-5371-0","50090-5371_413ee906-4d92-46f1-af67-e568524fc124","HUMAN PRESCRIPTION DRUG","Ciprofloxacin","","TABLET, FILM COATED","ORAL","20070426","","ANDA","ANDA077859","A-S Medication Solutions","250","mg/1","","N","20241231"
"3072","CIPROFLOXACIN HYDROCHLORIDE","Ciprofloxacin Hydrochloride","50090537101","Quinolone Antimicrobial [EPC], Quinolones [CS]","50090-5371","50090-5371-1","50090-5371_413ee906-4d92-46f1-af67-e568524fc124","HUMAN PRESCRIPTION DRUG","Ciprofloxacin","","TABLET, FILM COATED","ORAL","20070426","","ANDA","ANDA077859","A-S Medication Solutions","250","mg/1","","N","20241231"
"3073","CIPROFLOXACIN HYDROCHLORIDE","Ciprofloxacin Hydrochloride","50090537300","Quinolone Antimicrobial [EPC], Quinolones [CS]","50090-5373","50090-5373-0","50090-5373_bd76931e-a844-4564-972a-c442eb051e8f","HUMAN PRESCRIPTION DRUG","Ciprofloxacin","","TABLET, FILM COATED","ORAL","20070426","","ANDA","ANDA077859","A-S Medication Solutions","500","mg/1","","N","20241231"
"3074","CIPROFLOXACIN HYDROCHLORIDE","Ciprofloxacin Hydrochloride","50090537304","Quinolone Antimicrobial [EPC], Quinolones [CS]","50090-5373","50090-5373-4","50090-5373_bd76931e-a844-4564-972a-c442eb051e8f","HUMAN PRESCRIPTION DRUG","Ciprofloxacin","","TABLET, FILM COATED","ORAL","20070426","","ANDA","ANDA077859","A-S Medication Solutions","500","mg/1","","N","20241231"
"3075","AZITHROMYCIN DIHYDRATE","Azithromycin","50090537600","Macrolide Antimicrobial [EPC], Macrolides [CS]","50090-5376","50090-5376-0","50090-5376_f21ab02c-45c8-4933-8ab6-e676d3062dda","HUMAN PRESCRIPTION DRUG","Azithromycin","","TABLET, FILM COATED","ORAL","20180705","","ANDA","ANDA207398","A-S Medication Solutions","500","mg/1","","N","20241231"
"3076","CIPROFLOXACIN HYDROCHLORIDE","Ciprofloxacin","50090548301","Quinolone Antimicrobial [EPC], Quinolones [CS]","50090-5483","50090-5483-1","50090-5483_c3dcb7c8-32ef-4f12-9144-c73dcdc4a49a","HUMAN PRESCRIPTION DRUG","Ciprofloxacin","","TABLET, COATED","ORAL","20200812","","ANDA","ANDA208921","A-S Medication Solutions","500","mg/1","","N","20241231"
